Series15_HealthyLungBiopsy_1,Series15_HealthyLungBiopsy_2,Series15_COVID19Lung_1,Series15_COVID19Lung_2
PPP2R3C,1352,520,3,54
KIAA0391,1695,221,1,45
PSMA6,10386,2377,39,537
NFKBIA,150059,15230,177,3360
INSM2,8,0,0,0
RALGAPA1,840,246,0,34
BRMS1L,239,347,0,2
LINC00609,0,0,0,0
PTCSC3,2,9,0,0
MBIP,1267,481,0,0
SFTA3,436,845,0,0
NKX2-1,319,381,2,0
NKX2-8,12,0,0,1
PAX9,14,0,0,4
SLC25A21,6,7,0,6
MIR4503,0,0,0,0
MIPOL1,113,83,0,19
FOXA1,288,51,0,16
SSTR1,34,158,0,0
CLEC14A,157,3220,3,7
LINC00639,0,33,2,8
SEC23A,1436,448,1,5
GEMIN2,183,145,0,27
TRAPPC6B,994,564,0,26
PNN,4569,1950,1,31
MIA2,4,0,0,0
LOC100288846,7,14,0,0
FBXO33,518,296,0,16
LRFN5,260,32,0,6
FSCB,0,0,0,0
C14orf28,204,142,0,0
KLHL28,206,112,0,0
PRPF39,1173,514,0,1
SNORD127,0,0,0,0
FKBP3,926,764,0,39
FANCM,38,54,0,0
MIS18BP1,293,170,1,1
RPL10L,0,0,0,0
MDGA2,0,13,4,0
MIR548Y,0,0,0,0
LINC00648,0,0,0,0
RPS29,21317,12677,67,940
LRR1,416,194,0,0
RPL36AL,11850,5370,2,76
MGAT2,1403,620,0,43
DNAAF2,397,127,0,0
POLE2,15,31,0,0
KLHDC1,54,104,0,7
KLHDC2,593,723,1,3
NEMF,1225,603,0,24
ARF6,3952,2826,2,110
SOS2,1135,621,0,24
L2HGDH,83,76,0,0
ATP5S,154,120,0,3
CDKL1,161,36,0,0
MAP4K5,2916,711,0,7
ATL1,85,113,0,8
SAV1,1347,782,0,24
NIN,917,450,0,53
ABHD12B,3,7,0,0
PYGL,1246,661,4,125
TRIM9,129,13,0,1
TMX1,1311,494,3,75
LINC00640,4,0,0,0
FRMD6-AS2,0,7,0,0
FRMD6,4027,238,0,6
FRMD6-AS1,1,15,0,0
GNG2,932,470,11,446
NID2,290,177,0,6
PTGDR,37,23,0,0
PTGER2,293,133,1,15
TXNDC16,120,123,2,0
GPR137C,25,20,0,0
PSMC6,3411,1015,3,11
STYX,445,401,0,1
GNPNAT1,2442,673,2,18
FERMT2,10589,2080,1,91
DDHD1,849,245,0,11
MIR5580,0,0,0,0
BMP4,163,122,0,5
CDKN3,35,36,0,0
GMFB,1141,927,0,89
CGRRF1,549,173,0,0
SAMD4A,4474,1467,3,26
GCH1,3067,911,65,1653
MIR4308,0,0,0,0
WDHD1,183,50,0,5
SOCS4,955,490,0,5
MAPK1IP1L,4128,2457,11,115
LGALS3,13767,8948,3,140
DLGAP5,7,2,0,0
FBXO34,751,321,0,8
ATG14,250,214,0,0
TBPL2,0,2,0,0
KTN1-AS1,6,9,0,0
KTN1,5810,2368,0,84
RPL13AP3,3,0,0,0
LINC00520,15,9,0,8
PELI2,359,382,0,7
OTX2,0,0,0,0
OTX2-AS1,0,2,0,0
EXOC5,1566,511,2,16
AP5M1,523,308,0,7
NAA30,577,227,0,18
SLC35F4,1,0,0,0
ACTR10,1614,813,0,48
PSMA3,5900,1309,10,148
ARID4A,500,212,0,7
TOMM20L,16,1,0,7
TIMM9,984,605,2,56
KIAA0586,210,132,0,4
DACT1,810,227,0,0
DAAM1,824,495,0,0
GPR135,2,1,0,0
L3HYPDH,146,140,0,15
JKAMP,726,359,0,9
CCDC175,0,19,0,0
RTN1,100,51,0,1
LRRC9,5,5,0,0
DHRS7,4862,965,3,30
PPM1A,1585,898,3,55
C14orf39,0,0,0,0
SIX6,0,0,0,0
SIX1,31,28,0,11
SIX4,625,4,0,0
MNAT1,435,262,0,0
TRMT5,555,197,0,5
SLC38A6,262,163,2,4
TMEM30B,404,103,3,0
PRKCH,3002,2661,8,71
FLJ22447,14,26,0,0
HIF1A,14489,1346,6,98
HIF1A-AS2,5,1,0,0
SNAPC1,1550,300,6,0
SYT16,0,1,0,0
LINC00643,1,13,0,0
KCNH5,0,6,0,0
RHOJ,3052,2585,3,31
GPHB5,1,0,0,0
PPP2R5E,656,194,0,27
WDR89,624,153,7,21
SGPP1,330,202,0,13
SYNE2,2809,1394,0,20
ESR2,18,194,0,0
TEX21P,4,0,0,0
MTHFD1,1022,432,1,39
AKAP5,56,58,0,0
ZBTB25,152,68,0,0
ZBTB1,1576,417,0,14
HSPA2,498,1003,0,1
PPP1R36,18,15,0,0
PLEKHG3,436,590,0,0
SPTB,116,285,0,0
CHURC1-FNTB,0,0,0,0
CHURC1,419,805,1,61
GPX2,29,30,11,39
RAB15,396,215,0,0
FNTB,4,2,0,0
MAX,4946,1918,8,179
MIR4706,0,0,0,0
LOC100506321,21,0,0,0
MIR4708,0,0,0,0
FUT8,392,209,0,1
FUT8-AS1,2,2,0,0
GPHN,408,139,0,1
FAM71D,6,13,0,0
MPP5,2875,376,0,20
ATP6V1D,3344,708,3,43
EIF2S1,5592,1654,10,139
PLEK2,186,29,0,0
TMEM229B,299,34,3,9
PLEKHH1,80,27,0,0
PIGH,570,262,0,5
ARG2,990,141,0,0
VTI1B,1004,934,0,28
RDH11,1522,579,0,14
RDH12,5,15,0,0
ZFYVE26,1296,354,6,9
RAD51B,40,77,0,0
ZFP36L1,17844,6710,50,995
ACTN1,10959,4359,33,602
ACTN1-AS1,10,1,0,0
DCAF5,2570,1012,0,7
EXD2,424,177,4,7
GALNT16,69,238,0,0
ERH,4427,2200,7,475
SLC39A9,1698,810,2,26
PLEKHD1,2,2,0,0
CCDC177,0,9,0,0
LOC100289511,86,30,0,0
SRSF5,9125,7468,1,75
SLC10A1,16,13,0,0
SMOC1,19,39,0,3
SLC8A3,317,52,0,8
ADAM21P1,2,0,0,0
SYNJ2BP-COX16,0,0,0,0
COX16,125,63,0,0
SYNJ2BP,473,722,4,28
ADAM21,7,12,0,0
ADAM20P1,48,15,0,0
ADAM20,20,0,0,0
MED6,639,331,0,29
TTC9,273,132,0,0
MAP3K9,148,15,3,0
SNORD56B,0,0,0,0
LOC145474,6,8,0,0
SIPA1L1,1142,330,0,18
RGS6,37,76,0,0
DPF3,13,18,0,0
DCAF4,301,127,0,0
ZFYVE1,887,454,0,10
RBM25,3983,2062,2,106
PSEN1,3572,1013,29,239
PAPLN,695,173,0,6
NUMB,5418,1958,9,209
HEATR4,3,1,0,0
ACOT1,17,186,0,0
ACOT2,456,509,0,10
ACOT4,65,55,0,2
ACOT6,1,0,0,8
DNAL1,232,246,0,6
PNMA1,674,492,0,19
ELMSAN1,1342,1329,1,12
MIR4505,5,0,0,0
PTGR2,121,114,0,1
ZNF410,2858,1511,4,84
FAM161B,91,49,0,0
COQ6,280,250,0,0
ENTPD5,35,30,0,0
ALDH6A1,46,45,0,0
LIN52,140,106,2,10
VSX2,0,2,0,0
ABCD4,983,1305,0,7
VRTN,0,4,1,0
SYNDIG1L,18,8,0,0
NPC2,3869,3103,16,398
MIR4709,0,0,0,0
ISCA2,533,266,0,15
LTBP2,4303,1723,11,137
FCF1,370,281,0,17
YLPM1,1281,836,0,28
PROX2,19,3,0,0
DLST,4987,1608,1,3
RPS6KL1,183,51,0,0
PGF,2044,346,0,0
EIF2B2,2287,571,3,31
MLH3,722,341,0,0
ACYP1,242,108,0,8
ZC2HC1C,125,30,0,0
NEK9,1434,1292,0,16
TMED10,6316,2374,10,348
FOS,43603,28910,1,18
JDP2,423,998,3,1
BATF,844,575,1,17
FLVCR2,276,234,0,20
TTLL5,426,273,0,9
TGFB3,1071,1964,0,32
IFT43,1152,801,0,1
GPATCH2L,798,90,0,11
ESRRB,22,3,0,0
VASH1,862,1732,0,7
ANGEL1,703,388,0,1
IRF2BPL,409,885,0,6
ZDHHC22,1,0,0,0
TMEM63C,2,5,0,0
NGB,0,0,0,0
MIR1260A,0,0,0,0
POMT2,713,320,0,1
GSTZ1,73,189,0,4
TMED8,16,3,0,0
SAMD15,7,3,0,0
NOXRED1,5,5,0,3
VIPAS39,460,271,1,0
AHSA1,5462,1770,17,102
ISM2,0,0,0,0
SPTLC2,1292,1132,17,266
ALKBH1,789,232,0,15
SLIRP,2318,1087,4,137
SNW1,3696,1197,2,35
C14orf178,7,11,0,0
ADCK1,79,98,0,0
NRXN3,84,60,0,9
DIO2,55,101,0,0
DIO2-AS1,0,0,0,0
CEP128,37,42,0,0
TSHR,4,0,0,0
GTF2A1,754,292,0,8
SNORA79,0,0,0,0
STON2,339,253,0,0
SEL1L,3106,806,5,17
FLRT2,138,126,0,13
GALC,1317,287,0,91
GPR65,339,178,5,92
KCNK10,0,0,0,0
SPATA7,64,158,0,0
PTPN21,949,660,3,4
ZC3H14,1318,558,0,12
EML5,79,44,0,0
TTC8,122,168,0,0
FOXN3,2015,2023,0,11
FOXN3-AS1,19,76,0,2
FOXN3-AS2,2,2,0,0
EFCAB11,15,12,0,0
TDP1,642,110,0,12
KCNK13,3,6,0,0
PSMC1,2359,957,0,5
NRDE2,262,223,0,0
CALM1,13989,9650,27,565
LINC00642,1,8,0,0
TTC7B,675,474,0,4
RPS6KA5,134,38,0,0
SNORA11B,0,0,0,0
GPR68,890,247,0,2
CCDC88C,554,161,0,0
CATSPERB,96,9,0,0
TC2N,1446,297,0,12
FBLN5,3682,1659,11,256
TRIP11,927,266,0,1
ATXN3,523,328,3,33
NDUFB1,1337,1311,5,78
CPSF2,2218,417,1,23
SLC24A4,16,43,3,0
RIN3,569,505,0,3
LGMN,11008,2007,3,62
GOLGA5,976,575,1,18
CHGA,9,4,0,2
ITPK1,814,1298,1,26
ITPK1-AS1,8,16,0,0
MOAP1,1927,925,0,0
TMEM251,953,237,0,9
UBR7,1114,550,0,11
BTBD7,963,474,0,7
UNC79,14,25,0,0
COX8C,0,0,0,0
PRIMA1,2,34,0,0
FAM181A-AS1,0,0,0,0
FAM181A,6,17,0,0
ASB2,119,63,0,0
OTUB2,61,9,0,0
DDX24,8299,3081,5,169
IFI27L1,219,306,0,0
IFI27,17967,12917,70,800
IFI27L2,616,1017,1,14
PPP4R4,128,16,0,0
SERPINA10,8,0,0,0
SERPINA6,0,2,0,0
SERPINA1,15047,5311,260,3257
SERPINA11,0,0,0,0
SERPINA9,5,6,0,0
SERPINA12,0,0,0,0
SERPINA4,0,2,0,0
SERPINA5,1,13,0,0
SERPINA3,3674,5458,5,16
SERPINA13P,0,0,0,0
GSC,1,4,0,0
DICER1,1575,851,0,23
MIR3173,0,0,0,0
DICER1-AS1,31,58,0,0
CLMN,666,792,3,9
SYNE3,166,40,0,0
SNHG10,353,177,0,0
SCARNA13,0,0,0,0
GLRX5,744,861,0,30
TCL6,1,4,0,0
TCL1B,0,3,0,0
TCL1A,2,8,0,0
C14orf132,329,783,0,0
BDKRB2,3177,862,0,23
BDKRB1,702,179,0,10
ATG2B,832,576,0,7
GSKIP,462,272,0,23
AK7,39,38,0,5
PAPOLA,6590,2748,11,333
VRK1,99,128,0,5
C14orf177,0,0,0,0
BCL11B,308,68,0,11
SETD3,2655,1777,0,22
CCNK,1049,271,7,63
CCDC85C,829,402,0,0
HHIPL1,10,15,0,0
MIR5698,0,0,0,0
CYP46A1,4,29,0,0
EML1,192,620,0,10
EVL,1543,1796,1,30
DEGS2,31,10,0,0
YY1,1863,463,1,75
SLC25A29,843,1322,0,0
MIR345,0,0,0,0
SLC25A47,1,5,0,0
WARS,18434,8971,55,618
WDR25,289,188,0,0
BEGAIN,21,7,0,0
LINC00523,0,0,0,0
DLK1,0,0,0,0
MIR2392,0,0,0,0
MEG3,1125,386,0,0
MIR770,0,0,0,0
MIR493,0,0,0,0
MIR337,0,0,0,0
MIR665,0,0,0,0
RTL1,1,9,0,0
MIR431,0,0,0,0
MIR433,0,0,0,0
MIR127,0,0,0,0
MIR432,0,0,0,0
MIR136,0,0,0,0
MEG8,4,3,0,0
SNORD113-1,0,0,0,0
SNORD113-2,0,0,0,0
SNORD113-4,3,0,0,0
SNORD113-5,0,0,0,0
SNORD113-6,0,0,0,0
SNORD113-7,0,1,0,0
SNORD113-9,0,0,0,0
SNORD114-1,0,0,0,0
SNORD114-2,0,0,0,0
SNORD114-3,1,0,0,0
SNORD114-4,0,0,0,0
SNORD114-5,0,0,0,0
SNORD114-6,0,0,0,0
SNORD114-7,0,0,0,0
SNORD114-8,0,0,0,0
SNORD114-9,0,0,0,0
SNORD114-10,2,0,0,0
SNORD114-11,0,0,0,0
SNORD114-12,2,0,0,0
SNORD114-13,0,0,0,0
SNORD114-14,0,0,0,0
SNORD114-15,0,0,0,0
SNORD114-16,0,0,0,0
SNORD114-17,0,0,0,0
SNORD114-18,0,0,0,0
SNORD114-19,0,0,0,0
SNORD114-20,0,0,0,0
SNORD114-21,0,0,0,0
SNORD114-22,0,0,0,0
SNORD114-23,0,0,0,0
SNORD114-24,0,0,0,0
SNORD114-25,0,0,0,0
SNORD114-26,0,0,0,0
SNORD114-27,0,0,0,0
SNORD114-28,0,0,0,0
SNORD114-29,0,0,0,0
SNORD114-30,0,0,0,0
SNORD114-31,0,0,0,0
MIR379,0,0,0,0
MIR411,0,0,0,0
MIR299,0,0,0,0
MIR380,0,0,0,0
MIR1197,0,0,0,0
MIR323A,0,0,0,0
MIR758,0,0,0,0
MIR329-1,0,0,0,0
MIR329-2,0,0,0,0
MIR494,0,0,0,0
MIR1193,0,0,0,0
MIR543,0,0,0,0
MIR495,0,0,0,0
MIR376C,0,0,0,0
MIR376A2,0,0,0,0
MIR654,0,0,0,0
MIR376B,0,0,0,0
MIR376A1,0,0,0,0
MIR300,0,0,0,0
MIR1185-1,2,0,0,0
MIR1185-2,0,0,0,0
MIR381,0,0,0,0
MIR487B,0,0,0,0
MIR539,0,0,0,0
MIR889,0,0,0,0
MIR655,0,0,0,0
MIR487A,0,0,0,0
MIR382,0,0,0,0
MIR134,1,0,0,0
MIR668,0,0,0,0
MIR485,0,0,0,0
MIR323B,0,0,0,0
MIR154,0,0,0,0
MIR496,0,0,0,0
MIR377,0,0,0,0
MIR541,0,0,0,0
MIR409,1,0,0,0
MIR412,0,0,0,0
MIR369,0,0,0,0
MIR410,0,0,0,0
MIR656,0,0,0,0
MEG9,29,32,0,0
DIO3OS,5,23,0,0
MIR1247,8,8,0,0
DIO3,86,30,0,0
LINC00239,20,34,0,0
PPP2R5C,1991,1701,8,57
DYNC1H1,10281,3347,2,57
HSP90AA1,56859,15883,47,1437
WDR20,867,350,1,5
MOK,153,101,1,0
ZNF839,219,327,0,0
CINP,529,378,3,9
TECPR2,388,468,1,7
ANKRD9,47,47,0,9
MIR4309,0,0,0,0
RCOR1,1271,457,0,3
TRAF3,2148,472,0,38
AMN,11,0,1,1
CDC42BPB,2817,2221,0,13
EXOC3L4,31,13,0,1
TNFAIP2,8921,4619,10,157
LINC00605,6,34,4,18
EIF5,22274,3981,12,243
SNORA28,7,0,0,8
MARK3,3552,1714,1,25
CKB,2850,2443,0,6
TRMT61A,785,416,0,0
BAG5,1993,752,2,35
APOPT1,697,628,1,23
KLC1,3927,2806,2,32
XRCC3,232,171,0,0
ZFYVE21,986,1317,0,24
PPP1R13B,2064,967,0,0
LINC00637,2,0,0,0
TDRD9,89,20,0,0
RD3L,0,0,0,0
ASPG,30,5,0,0
KIF26A,37,95,0,0
C14orf180,0,14,0,0
TMEM179,0,0,0,0
MIR4710,0,0,0,0
INF2,1517,931,4,3
ADSSL1,196,166,0,0
SIVA1,1739,1427,0,2
AKT1,2827,2513,3,53
ZBTB42,111,64,0,4
LINC00638,8,0,0,0
CEP170B,628,152,0,9
PLD4,11,1,0,0
AHNAK2,180,498,0,13
CDCA4,356,123,0,7
GPR132,258,71,0,18
JAG2,83,705,0,0
NUDT14,175,440,2,1
BRF1,301,254,0,1
BTBD6,391,789,0,7
PACS2,441,1152,1,0
TEX22,4,17,0,0
MTA1,583,367,2,0
CRIP2,1782,11918,6,51
CRIP1,2912,19331,0,7
TMEM121,13,45,0,0
ELK2AP,0,1,0,0
ADAM6,0,0,0,0
LINC00226,0,0,0,0
LINC00221,0,0,0,0
CHEK2P2,0,0,0,0
HERC2P3,3,22,0,4
GOLGA6L6,0,0,0,0
GOLGA8CP,0,0,0,0
NBEAP1,0,0,0,0
POTEB,0,0,0,0
NF1P2,0,0,0,0
LOC646214,21,40,6,0
CXADRP2,0,14,0,0
OR4M2,0,0,0,0
OR4N4,0,0,0,0
OR4N3P,0,5,0,0
REREP3,0,4,0,0
MIR4509-1,0,0,0,0
MIR4509-2,0,0,0,0
MIR4509-3,0,0,0,0
GOLGA8DP,0,8,0,0
GOLGA6L1,0,0,0,0
TUBGCP5,173,223,0,3
CYFIP1,4508,1603,7,159
NIPA2,2515,1048,3,11
NIPA1,784,299,0,10
LOC283683,12,27,0,0
WHAMMP3,108,89,0,0
HERC2P2,1011,490,2,19
HERC2P7,10,4,1,0
GOLGA8EP,0,0,0,0
GOLGA8S,1,4,0,0
MIR4508,0,0,0,0
MKRN3,6,0,0,0
MAGEL2,0,9,0,0
NDN,237,889,0,3
PWRN2,0,2,0,0
PWRN1,7,12,0,0
NPAP1,0,0,0,0
SNRPN,0,0,0,0
SNURF,0,0,0,0
SNORD107,0,0,0,0
SNORD64,0,0,0,0
SNORD108,0,0,0,0
SNORD109B,0,0,0,0
SNORD109A,0,0,0,0
SNORD116-1,1,0,0,0
SNORD116-2,2,0,0,0
SNORD116-3,0,0,0,0
SNORD116-9,0,0,0,0
SNORD116-4,3,0,0,0
SNORD116-7,0,0,0,0
SNORD116-5,0,0,0,0
SNORD116-6,0,0,0,0
SNORD116-8,0,0,0,0
SNORD116-10,0,3,0,0
SNORD116-11,0,0,0,0
SNORD116-12,0,0,0,0
SNORD116-13,2,0,0,0
SNORD116-14,0,0,0,0
SNORD116-15,0,0,0,0
SNORD116-16,1,0,0,0
SNORD116-19,0,0,0,0
SNORD116-17,0,0,0,0
SNORD116-18,2,0,0,0
SNORD116-20,0,4,0,0
SNORD116-21,0,0,0,0
SNORD116-22,0,0,0,0
SNORD116-23,0,0,0,0
SNORD116-24,3,0,0,0
SNORD116-25,0,0,0,0
SNORD116-26,2,0,0,0
SNORD116-27,0,0,0,0
SNORD116-28,0,0,0,0
SNORD116-29,0,0,0,0
IPW,79,341,0,0
SNORD115-1,0,0,0,0
SNORD115-2,0,0,0,0
SNORD115-3,0,0,0,0
SNORD115-4,0,0,0,0
SNORD115-5,0,0,0,0
SNORD115-9,0,0,0,0
SNORD115-12,0,0,0,0
SNORD115-10,0,0,0,0
SNORD115-6,0,0,0,0
SNORD115-7,0,0,0,0
SNORD115-8,0,0,0,0
SNORD115-11,0,0,0,0
SNORD115-29,0,0,0,0
SNORD115-36,0,0,0,0
SNORD115-43,0,0,0,0
SNORD115-13,0,0,0,0
SNORD115-14,0,0,0,0
SNORD115-16,0,0,0,0
SNORD115-17,0,0,0,0
SNORD115-19,0,0,0,0
SNORD115-18,0,0,0,0
SNORD115-15,0,0,0,0
SNORD115-21,0,0,0,0
SNORD115-20,0,0,0,0
SNORD115-22,0,0,0,0
SNORD115-23,0,0,0,0
SNORD115-24,0,0,0,0
SNORD115-25,0,0,0,0
SNORD115-26,0,0,0,0
SNORD115-27,0,0,0,0
SNORD115-28,0,0,0,0
SNORD115-30,0,0,0,0
SNORD115-31,0,0,0,0
SNORD115-32,0,0,0,0
SNORD115-33,0,0,0,0
SNORD115-34,0,0,0,0
SNORD115-35,0,0,0,0
SNORD115-37,0,0,0,0
SNORD115-38,0,0,0,0
SNORD115-39,0,0,0,0
SNORD115-40,0,0,0,0
SNORD115-41,0,0,0,0
SNORD115-42,0,0,0,0
SNORD115-44,0,0,0,0
SNORD115-45,0,0,0,0
SNORD115-47,0,0,0,0
SNORD115-48,0,0,0,0
UBE3A,2157,990,0,31
ATP10A,492,408,0,0
MIR4715,2,0,0,0
GABRB3,41,51,0,15
GABRA5,0,0,0,9
GABRG3,0,0,0,0
OCA2,1,17,0,0
HERC2,1483,709,0,3
GOLGA8G,0,0,0,0
GOLGA8F,0,0,0,0
HERC2P9,298,474,0,5
WHAMMP2,51,75,0,0
LOC100289656,0,0,0,0
APBA2,158,195,0,0
FAM189A1,7,34,0,0
TJP1,5274,1886,0,39
ULK4P3,0,0,0,0
GOLGA8T,0,0,0,0
CHRFAM7A,0,1,0,0
ULK4P1,0,0,0,0
ULK4P2,0,0,0,0
ARHGAP11B,5,1,0,0
LOC100288637,23,20,0,0
HERC2P10,0,0,0,0
FAN1,268,199,0,5
MTMR10,1081,531,0,7
TRPM1,1,5,0,0
MIR211,0,0,0,0
LOC283710,7,14,0,0
KLF13,1853,2003,0,7
OTUD7A,15,8,0,0
CHRNA7,13,10,0,0
WHAMMP1,40,11,0,0
ARHGAP11A,23,42,0,1
SCG5,9,4,0,0
GREM1,335,194,0,0
FMN1,98,90,0,4
TMCO5B,0,13,0,0
RYR3,35,195,0,0
AVEN,238,165,1,7
CHRM5,7,0,0,0
EMC7,2127,853,0,110
PGBD4,16,6,0,0
KATNBL1,678,390,0,41
EMC4,1368,948,3,59
SLC12A6,537,247,4,26
NOP10,5629,2060,61,595
LPCAT4,278,416,0,0
GOLGA8A,1562,1014,0,3
MIR1233-1,0,0,0,0
MIR1233-2,0,0,0,0
GOLGA8B,1009,547,0,5
GJD2,0,0,0,0
ACTC1,12,265,0,4
AQR,1265,384,1,15
ZNF770,1435,515,2,28
ANP32AP1,0,1,0,0
MIR3942,0,9,0,0
MIR4510,0,4,0,0
C15orf41,71,72,0,0
CSNK1A1P1,3,0,0,0
LOC145845,0,4,0,0
MEIS2,453,438,0,1
TMCO5A,0,0,0,0
SPRED1,1309,760,0,0
FAM98B,128,125,0,11
RASGRP1,593,15,0,9
C15orf53,7,2,0,0
C15orf54,10,1,0,0
THBS1,16451,11726,36,585
FSIP1,21,8,0,0
GPR176,521,213,0,3
EIF2AK4,826,557,0,1
SRP14,7624,5889,9,227
BMF,1055,239,2,0
BUB1B,12,10,0,0
PAK6,29,6,0,0
C15orf56,1,0,0,0
ANKRD63,0,0,0,0
PLCB2,287,339,3,2
PHGR1,0,0,0,0
DISP2,17,0,0,0
KNSTRN,131,97,0,0
IVD,508,798,1,3
BAHD1,1299,543,1,4
CHST14,214,203,0,7
MRPL42P5,12,20,0,0
RPUSD2,310,195,0,1
RAD51,24,19,0,0
RMDN3,1151,925,1,10
GCHFR,308,1189,0,0
DNAJC17,353,254,0,0
C15orf62,32,16,0,0
ZFYVE19,340,302,0,0
PPP1R14D,2,5,0,0
SPINT1,1519,319,3,12
RHOV,206,12,0,0
VPS18,831,412,0,1
DLL4,3252,1175,0,9
CHAC1,169,15,2,6
INO80,1598,678,0,8
EXD1,2,7,0,0
CHP1,1868,1731,6,81
OIP5-AS1,262,200,0,27
OIP5,9,15,0,0
NUSAP1,211,48,0,0
NDUFAF1,358,252,0,12
RTF1,1937,1375,0,16
ITPKA,9,16,0,0
LTK,54,365,0,0
RPAP1,408,280,0,7
TYRO3,204,118,0,7
MGA,1302,274,0,5
MIR626,0,0,0,0
MAPKBP1,1803,362,0,1
JMJD7-PLA2G4B,0,0,0,0
JMJD7,111,108,0,1
PLA2G4B,5,0,0,0
SPTBN5,222,169,0,0
MIR4310,0,0,0,0
EHD4,4581,2447,2,27
PLA2G4E,35,4,0,0
PLA2G4D,7,4,0,0
PLA2G4F,26,98,0,0
VPS39,1577,1279,0,9
MIR627,0,0,0,0
TMEM87A,3315,1066,1,33
GANC,375,213,4,6
CAPN3,625,361,2,4
SNAP23,3311,1539,0,23
LRRC57,431,274,0,0
HAUS2,771,426,0,6
STARD9,748,708,0,0
CDAN1,236,107,0,0
TTBK2,164,67,0,0
UBR1,1929,598,3,33
TMEM62,413,330,3,26
CCNDBP1,1555,1034,10,44
EPB42,4,0,0,0
TGM5,11,0,0,0
TGM7,0,0,0,0
LCMT2,313,147,0,18
ADAL,117,81,0,0
ZSCAN29,487,228,0,0
TUBGCP4,451,117,0,3
TP53BP1,1608,369,0,12
MAP1A,52,182,1,3
PPIP5K1,219,191,0,1
CKMT1B,6,0,0,0
STRC,14,2,0,0
CATSPER2,71,66,0,0
CKMT1A,5,0,0,0
CATSPER2P1,4,15,0,0
PDIA3,21532,4587,22,199
ELL3,205,84,0,25
SERF2,7006,4891,106,1184
SERF2-C15ORF63,0,0,0,0
MIR1282,0,0,0,0
SERINC4,421,100,0,0
HYPK,7,10,0,1
MFAP1,1857,507,0,0
WDR76,345,36,0,13
FRMD5,28,0,0,0
PIN4P1,2,0,0,0
CASC4,973,1317,0,38
CTDSPL2,726,246,0,0
EIF3J,4909,1504,4,197
SPG11,1563,525,0,45
PATL2,179,41,0,7
B2M,231361,64931,823,22290
TRIM69,1144,35,0,12
SORD,370,147,2,0
DUOX2,509,10,0,0
DUOXA2,157,0,0,0
DUOXA1,177,79,0,7
DUOX1,491,229,2,22
SHF,124,119,0,0
SLC28A2,5,0,0,0
GATM,95,137,0,0
SPATA5L1,310,112,0,0
C15orf48,4258,92,74,1194
MIR147B,0,0,0,0
SLC30A4,107,37,6,6
HMGN2P46,375,23,0,0
BLOC1S6,1764,987,1,11
SEMA6D,704,337,0,0
SLC24A5,7,4,0,0
MYEF2,304,108,3,4
CTXN2,0,0,0,0
SLC12A1,0,1,0,0
DUT,664,1267,0,17
FBN1,583,526,3,31
CEP152,97,26,0,2
SHC4,7,42,0,0
EID1,1502,3604,4,107
SECISBP2L,978,574,1,49
COPS2,3087,962,0,50
GALK2,401,178,0,0
NDUFAF4P1,0,0,0,0
MIR4716,0,0,0,0
FAM227B,10,15,0,0
FGF7,2327,511,0,42
DTWD1,410,414,0,6
ATP8B4,84,74,0,6
SLC27A2,103,19,0,5
HDC,1539,152,3,0
GABPB1,2141,607,4,23
GABPB1-AS1,93,63,0,7
MIR4712,1,0,0,0
USP8,1414,571,0,32
USP50,2,0,0,0
TRPM7,2266,371,0,13
SPPL2A,2343,253,1,67
AP4E1,229,156,0,9
DCAF13P3,1,1,0,0
TNFAIP8L3,188,364,0,5
CYP19A1,1,2,3,41
MIR4713,0,0,0,0
GLDN,42,150,3,59
DMXL2,1075,158,1,62
SCG3,2,3,0,0
LYSMD2,450,340,1,57
TMOD2,135,332,0,0
TMOD3,2261,881,1,87
LEO1,599,211,0,4
MAPK6,2866,315,3,20
BCL2L10,1,3,0,0
GNB5,270,386,0,0
MYO5C,577,340,0,9
MIR1266,0,0,0,0
MYO5A,460,484,0,12
ARPP19,4661,2222,9,175
FAM214A,471,393,0,9
ONECUT1,0,0,0,0
WDR72,10,2,0,0
UNC13C,0,9,0,0
RSL24D1,4426,2189,5,140
RAB27A,2185,1245,3,94
PIGB,137,147,0,0
CCPG1,180,240,1,58
MIR628,0,0,0,0
PYGO1,22,12,0,3
PRTG,76,68,0,4
NEDD4,793,347,0,21
RFX7,257,161,0,16
TEX9,11,19,0,0
MNS1,36,26,0,10
ZNF280D,388,377,0,18
LOC145783,98,80,0,0
TCF12,1821,582,0,12
CGNL1,1163,1010,1,17
GCOM1,0,0,0,0
MYZAP,817,528,0,0
POLR2M,321,121,0,10
ALDH1A2,658,435,0,7
AQP9,3141,506,180,3409
LIPC,3,14,0,0
ADAM10,1421,322,1,43
HSP90AB4P,15,19,0,0
SLTM,2606,1494,1,28
RNF111,1025,215,0,18
CCNB2,52,36,0,2
MYO1E,2927,732,1,72
MIR2116,3,0,0,0
LDHAL6B,19,2,0,0
FAM81A,9,19,2,0
GCNT3,13,5,1,5
GTF2A2,1728,908,0,80
BNIP2,1971,1173,0,45
FOXB1,0,0,0,0
ANXA2,61313,21536,60,896
RORA,1559,460,0,7
VPS13C,2707,590,8,0
C2CD4A,231,63,1,22
C2CD4B,1180,519,7,76
MGC15885,0,0,0,0
TLN2,108,173,0,3
